SCENARIO,YEAR,BUILDING_CLASS,GFA_Bm2,TOTAL_HEATING_kWh_m2_yr,TOTAL_COOLING_kWh_m2_yr,TOTAL_HEATING_EJ,TOTAL_COOLING_EJ
data_A1B_2010,2010,Residential,22.208299528697772,96.07672890973268,65.12691194057692,7.681322784113425,5.206888683919641
data_A1B_2010,2010,Residential,22.32811111194585,96.07672890973268,65.12691194057692,7.72276276212772,5.2349793342736115
data_A1B_2010,2010,Residential,21.994230177780036,96.07672890973268,65.12691194057692,7.607281285327804,5.156698651160616
data_A1B_2010,2010,Residential,21.872045964450002,96.07672890973268,65.12691194057692,7.5650206709796315,5.128051721353149
data_A1B_2010,2010,Residential,22.09899565357574,96.07672890973268,65.12691194057692,7.643517172509446,5.18126163806023
data_A1B_2010,2010,Residential,22.05649506397994,96.07672890973268,65.12691194057692,7.628817229059089,5.171297082298528
data_A1B_2010,2010,Residential,22.264346414848607,96.07672890973268,65.12691194057692,7.700708069466438,5.22002926214764
data_A1B_2010,2010,Residential,21.906355440395185,96.07672890973268,65.12691194057692,7.576887502969544,5.136095814140143
data_A1B_2010,2010,Residential,22.168723969535,96.07672890973268,65.12691194057692,7.6676345391445455,5.197609921675906
data_A1B_2010,2010,Residential,22.541077157580624,96.07672890973268,65.12691194057692,7.796422653848069,5.284910689515011
data_A1B_2010,2010,Residential,22.106960228297535,96.07672890973268,65.12691194057692,7.646271929540584,5.183128987423811
data_A1B_2010,2010,Residential,21.662542473278606,96.07672890973268,65.12691194057692,7.492558394522732,5.078932185838403
data_A1B_2010,2010,Residential,22.173107146859756,96.07672890973268,65.12691194057692,7.669150575967084,5.198637587769043
data_A1B_2010,2010,Residential,22.096168854645438,96.07672890973268,65.12691194057692,7.642539449969214,5.180598875594202
data_A1B_2010,2010,Residential,22.102270234910975,96.07672890973268,65.12691194057692,7.644649772337104,5.1820293861931725
data_A1B_2010,2010,Residential,22.003907519807687,96.07672890973268,65.12691194057692,7.610628447847409,5.158967570608008
data_A1B_2010,2010,Residential,22.045347337838578,96.07672890973268,65.12691194057692,7.624961495634291,5.168683421175041
data_A1B_2010,2010,Residential,21.982954920809245,96.07672890973268,65.12691194057692,7.60338144202127,5.154055089556377
data_A1B_2010,2010,Residential,21.89888749118718,96.07672890973268,65.12691194057692,7.574304516895896,5.134344902046536
data_A1B_2010,2010,Residential,21.79937217964427,96.07672890973268,65.12691194057692,7.539884536701783,5.111012852292796
data_A1B_2010,2010,Residential,21.92696714912804,96.07672890973268,65.12691194057692,7.584016602957799,5.140928371122666
data_A1B_2010,2010,Residential,21.807528052127648,96.07672890973268,65.12691194057692,7.542705459080372,5.1129250527332815
data_A1B_2010,2010,Residential,22.03035440917698,96.07672890973268,65.12691194057692,7.61977579808099,5.1651682258542095
data_A1B_2010,2010,Residential,22.219544402213984,96.07672890973268,65.12691194057692,7.6852121185054125,5.209525121913824
data_A1B_2010,2010,Residential,21.73574014993268,96.07672890973268,65.12691194057692,7.517875730534908,5.096093884948541
data_A1B_2010,2010,Residential,21.873454023650662,96.07672890973268,65.12691194057692,7.56550768517923,5.128381850524396
